query_article_idx,similar_article_idx,rank,similarity_score,method,similar_product_type_name,similar_product_group_name,similar_colour_group_name,similar_section_name,similar_garment_group_name,query_article_id,query_prod_name,query_image_url,similar_article_id,similar_prod_name,similar_image_url
0,1,1,0.9679169654846191,als_item_embedding_cosine,Vest top,Garment Upper body,White,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0108775044,Strap top,/images/010/0108775044.jpg
0,10109,2,0.9109518527984619,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0538699001,V-neck strap top,/images/053/0538699001.jpg
0,10111,3,0.877929151058197,als_item_embedding_cosine,Vest top,Garment Upper body,White,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0538699007,V-neck strap top,/images/053/0538699007.jpg
0,1512,4,0.8641341328620911,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Divided Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0355072001,Anita Tank (1),/images/035/0355072001.jpg
0,1513,5,0.8433566093444824,als_item_embedding_cosine,Vest top,Garment Upper body,White,Divided Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0355072002,Anita Tank (1),/images/035/0355072002.jpg
0,48509,6,0.8317814469337463,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Divided Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0692226003,Anita Tank,/images/069/0692226003.jpg
0,72486,7,0.8216805458068848,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0767834001,Strap Top.,/images/076/0767834001.jpg
0,62638,8,0.8207293748855591,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0736870001,Strap Top 2 pack,/images/073/0736870001.jpg
0,47253,9,0.8025248050689697,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0688463001,Straptop 2-pack,/images/068/0688463001.jpg
0,47254,10,0.8010125756263733,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0688463003,Straptop 2-pack,/images/068/0688463003.jpg
0,48510,11,0.7936895489692688,als_item_embedding_cosine,Vest top,Garment Upper body,White,Divided Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0692226004,Anita Tank,/images/069/0692226004.jpg
0,72487,12,0.7936500906944275,als_item_embedding_cosine,Vest top,Garment Upper body,White,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0767834002,Strap Top.,/images/076/0767834002.jpg
0,72495,13,0.7870029807090759,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0767869001,V-neck Strap Top.,/images/076/0767869001.jpg
0,28586,14,0.7841534614562988,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Divided Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0623522001,Nina Strap,/images/062/0623522001.jpg
0,15137,15,0.779236912727356,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0565379001,Moa tank,/images/056/0565379001.jpg
0,86782,16,0.7780739068984985,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0824999001,Strap top 2p,/images/082/0824999001.jpg
0,125,17,0.7763385772705078,als_item_embedding_cosine,Socks,Socks & Tights,Black,Divided Basics,"Under-, Nightwear",0108775015,Strap top,/images/010/0108775015.jpg,0181448022,Jenny 5-pack,/images/018/0181448022.jpg
0,62639,18,0.7651176452636719,als_item_embedding_cosine,Vest top,Garment Upper body,Light Beige,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0736870002,Strap Top 2 pack,/images/073/0736870002.jpg
0,29822,19,0.7639755606651306,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Womens Casual,Jersey Fancy,0108775015,Strap top,/images/010/0108775015.jpg,0626366003,gaby,/images/062/0626366003.jpg
0,1514,20,0.7612576484680176,als_item_embedding_cosine,Vest top,Garment Upper body,Black,Divided Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0355072003,Anita Tank (1),/images/035/0355072003.jpg
0,1,1,0.9222522826426073,metadata_tfidf_cosine,Vest top,Garment Upper body,White,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0108775044,Strap top,/images/010/0108775044.jpg
0,2,2,0.8777407156343205,metadata_tfidf_cosine,Vest top,Garment Upper body,Off White,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0108775051,Strap top (1),/images/010/0108775051.jpg
0,10109,3,0.8274331905927721,metadata_tfidf_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0538699001,V-neck strap top,/images/053/0538699001.jpg
0,72495,4,0.7693506338832834,metadata_tfidf_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0767869001,V-neck Strap Top.,/images/076/0767869001.jpg
0,10111,5,0.7621851958783036,metadata_tfidf_cosine,Vest top,Garment Upper body,White,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0538699007,V-neck strap top,/images/053/0538699007.jpg
0,10110,6,0.7452494355440571,metadata_tfidf_cosine,Vest top,Garment Upper body,Light Beige,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0538699002,V-neck strap top,/images/053/0538699002.jpg
0,72496,7,0.7094497081647689,metadata_tfidf_cosine,Vest top,Garment Upper body,White,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0767869002,V-neck Strap Top.,/images/076/0767869002.jpg
0,83527,8,0.7000948554456894,metadata_tfidf_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0812371001,Strap top 3-pack,/images/081/0812371001.jpg
0,62638,9,0.6858555311938433,metadata_tfidf_cosine,Vest top,Garment Upper body,Black,Womens Everyday Basics,Jersey Basic,0108775015,Strap top,/images/010/0108775015.jpg,0736870001,Strap Top 2 pack,/images/073/0736870001.jpg
