query_customer_idx,similar_customer_idx,rank,similarity_score,query_top_garment_groups,similar_top_garment_groups,common_garment_groups,query_top_sections,similar_top_sections,common_sections
20300,1268154,1,0.6826266646385193,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,Unknown,,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,Womens Everyday Collection,Womens Everyday Collection
20300,1098634,2,0.6679538488388062,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,Trousers,Trousers,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,Womens Trend,Womens Trend
20300,1116034,3,0.6605885028839111,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,Jersey Basic | Trousers | Blouses | Outdoor | Trousers Denim,Blouses | Trousers | Jersey Basic,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,Womens Everyday Basics | Womens Trend | Divided Collection | Ladies Denim | Womens Jackets,Womens Trend | Divided Collection | Womens Jackets
20300,807928,4,0.6589459180831909,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,Trousers,Trousers,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,Womens Trend,Womens Trend
20300,1364275,5,0.6589459180831909,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,Trousers,Trousers,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,Womens Trend,Womens Trend
20300,1007868,6,0.6483771204948425,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,Trousers,Trousers,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,Womens Trend,Womens Trend
20300,1289808,7,0.6483770608901978,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,Trousers,Trousers,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,Womens Trend,Womens Trend
20300,631693,8,0.6450759172439575,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,Trousers | Blouses | Unknown | Jersey Fancy | Knitwear,Blouses | Jersey Fancy | Trousers,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,Womens Trend | Womens Everyday Collection | Womens Jackets | Womens Casual | Special Collections,Womens Everyday Collection | Womens Trend | Womens Casual | Womens Jackets
20300,425674,9,0.6398636698722839,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,"Under-, Nightwear | Shoes | Trousers | Unknown",Trousers,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,"Womens Nightwear, Socks & Tigh | Womens Shoes | Womens Lingerie | Womens Trend | Womens Everyday Collection",Womens Everyday Collection | Womens Trend
20300,189845,10,0.6314122080802917,Blouses | Jersey Fancy | Trousers | Dresses Ladies | Jersey Basic,Trousers | Unknown | Trousers Denim,Trousers,Womens Everyday Collection | Womens Trend | Divided Collection | Womens Casual | Womens Jackets,Womens Everyday Collection | Collaborations | Ladies Denim,Womens Everyday Collection
36424,835824,1,0.6289335489273071,Trousers | Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,"Jersey Fancy | Jersey Basic | Dresses Ladies | Under-, Nightwear | Knitwear",Jersey Fancy | Dresses Ladies | Jersey Basic | Knitwear,"Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics","Womens Everyday Collection | Divided Collection | Womens Nightwear, Socks & Tigh | Womens Everyday Basics | Womens Tailoring","Womens Everyday Collection | Divided Collection | Womens Tailoring | Womens Nightwear, Socks & Tigh | Womens Everyday Basics"
